152 24 0 , 2401 3110 0
152 32 0 , 2403 3021 0
152 40 0 , 2404 2941 0
152 48 0 , 2406 2592 0
152 56 0 , 2406 2676 0
152 64 0 , 2406 2768 0
152 72 0 , 2406 2851 0
152 80 0 , 2407 2498 0
152 88 0 , 2408 2052 0
152 96 0 , 2408 2138 0
152 104 0 , 2408 2234 0
152 112 0 , 2408 2320 0
152 120 0 , 2408 2414 0
152 128 0 , 2410 1955 0
152 136 0 , 2412 1867 0
152 144 0 , 2414 1770 0
152 152 0 , 2416 1680 0
152 160 0 , 2417 1580 0
152 168 0 , 2420 1489 0
152 176 0 , 2422 1387 0
152 184 0 , 2424 1294 0
152 192 0 , 2425 1191 0
152 200 0 , 2427 1097 0
152 208 0 , 2429 897 0
152 216 0 , 2429 992 0
152 224 0 , 2430 790 0
152 232 0 , 2431 492 0
152 240 0 , 2431 587 0
152 248 0 , 2431 695 0
160 0 0 , 2485 3346 0
160 8 0 , 2487 3267 0
160 16 0 , 2488 3180 0
160 24 0 , 2489 3100 0
160 32 0 , 2491 3011 0
160 40 0 , 2492 2932 0
160 48 0 , 2493 2841 0
160 56 0 , 2494 2759 0
160 64 0 , 2495 2584 0
160 72 0 , 2495 2667 0
160 80 0 , 2496 2491 0
160 88 0 , 2497 2228 0
160 96 0 , 2497 2313 0
160 104 0 , 2497 2407 0
160 112 0 , 2498 1951 0
160 120 0 , 2498 2133 0
160 128 0 , 2499 2047 0
160 136 0 , 2500 1863 0
160 144 0 , 2503 1767 0
160 152 0 , 2506 1677 0
160 160 0 , 2508 1578 0
160 168 0 , 2511 1488 0
160 176 0 , 2513 1387 0
160 184 0 , 2516 1294 0
160 192 0 , 2519 1192 0
160 200 0 , 2521 1098 0
160 208 0 , 2522 995 0
160 216 0 , 2524 900 0
160 224 0 , 2525 794 0
160 232 0 , 2526 698 0
160 240 0 , 2528 591 0
160 248 0 , 2529 496 0
168 0 0 , 2563 3337 0
168 8 0 , 2564 3259 0
168 16 0 , 2565 3170 0
168 24 0 , 2566 3091 0
168 32 0 , 2567 3002 0
168 40 0 , 2568 2923 0
168 48 0 , 2569 2832 0
168 56 0 , 2571 2751 0
168 64 0 , 2572 2578 0
168 72 0 , 2572 2660 0
168 80 0 , 2574 2401 0
168 88 0 , 2574 2485 0
168 96 0 , 2576 2042 0
168 104 0 , 2576 2128 0
168 112 0 , 2576 2223 0
168 120 0 , 2576 2308 0
168 128 0 , 2578 1947 0
168 136 0 , 2580 1860 0
168 144 0 , 2582 1763 0
168 152 0 , 2586 1675 0
168 160 0 , 2588 1576 0
168 168 0 , 2591 1487 0
168 176 0 , 2594 1386 0
168 184 0 , 2597 1294 0
168 192 0 , 2599 1192 0
168 200 0 , 2603 1099 0
168 208 0 , 2605 996 0
168 216 0 , 2607 902 0
168 224 0 , 2609 797 0
168 232 0 , 2611 701 0
168 240 0 , 2613 500 0
168 248 0 , 2613 594 0
